location,sex,band,year,model_prev,model_inc,model_dwell,gbd_prev,gbd_inc,gbd_dwell
Indonesia,Female,65+,2000,20838.8457206622,0,,17680.851204079,0,
Indonesia,Female,65+,2001,22768.582110329,0,,18240.0532281924,0,
Indonesia,Female,65+,2002,24665.157001446,0,,18758.0135154985,0,
Indonesia,Female,65+,2003,26508.3464552396,0,,19269.1742896797,0,
Indonesia,Female,65+,2004,28278.0572383344,0,,19721.6267621708,0,
Indonesia,Female,65+,2005,29788.7841922486,0,,20142.4431270103,0,
Indonesia,Female,65+,2006,31920.0031857333,0,,20614.2668169276,0,
Indonesia,Female,65+,2007,33935.384101853,0,,21081.4886600871,0,
Indonesia,Female,65+,2008,35846.1001256039,0,,21538.5879397672,0,
Indonesia,Female,65+,2009,37652.415558583,0,,21972.888116215,0,
Indonesia,Female,65+,2010,39377.2331622373,0,,22376.3759493909,0,
Indonesia,Female,65+,2011,41636.9986602253,0,,22809.1155451044,0,
Indonesia,Female,65+,2012,43786.4281479761,0,,23246.7842085489,0,
Indonesia,Female,65+,2013,45762.5570095631,0,,23767.0690846124,0,
Indonesia,Female,65+,2014,47650.8868523104,0,,24408.7011420538,0,
Indonesia,Female,65+,2015,49635.9031431133,0,,25169.7407361488,0,
Indonesia,Female,65+,2016,52443.9989199826,0,,26086.1700818825,0,
Indonesia,Female,65+,2017,55421.6830294478,0,,27216.6146526534,0,
Indonesia,Female,65+,2018,58575.90553775,0,,28523.9684803851,0,
Indonesia,Female,65+,2019,61895.1707563662,0,,29970.8163441071,0,
Indonesia,Male,0-14,2000,30243.3196217213,7217.23400339101,4.19043079488783,30338.3302572741,7440.58579387812,4.07741152346305
Indonesia,Male,0-14,2001,32749.1664397014,7238.41095106459,4.52435854514241,30402.6320141755,7461.57283511706,4.07456077773427
Indonesia,Male,0-14,2002,34623.8387362662,7260.1446252084,4.76902878987377,30527.085683534,7494.31967341479,4.07336316221274
Indonesia,Male,0-14,2003,35853.0041387159,7275.47087443665,4.92792903132776,30692.3391465819,7535.69575417642,4.07292705913341
Indonesia,Male,0-14,2004,36491.1588104938,7282.68777193179,5.0106718773712,30881.764348731,7580.76899499736,4.07369811283133
Indonesia,Male,0-14,2005,36530.4453519077,7304.57403679694,5.00103704444432,31097.8008739211,7630.13802501794,4.07565377873331
Indonesia,Male,0-14,2006,37937.2260136532,7333.98436625347,5.17279886608666,31357.4860602069,7687.86739608758,4.07882764421314
Indonesia,Male,0-14,2007,38887.2987553596,7372.54204878263,5.27461199923313,31644.7265034486,7750.766686703,4.08278661745004
Indonesia,Male,0-14,2008,39371.2674151568,7417.22977405398,5.30808248018423,31924.9919976576,7812.93925878527,4.08616923032641
Indonesia,Male,0-14,2009,39364.0244300674,7456.32080910297,5.27928256279025,32170.074952118,7868.35173628681,4.08854052669734
Indonesia,Male,0-14,2010,38835.4862463075,7487.68734865266,5.1865795723022,32363.291467366,7912.14916280716,4.09032878443406
Indonesia,Male,0-14,2011,39184.1474096507,7519.6734131047,5.21088420427456,32512.5398184114,7945.0422392485,4.09217960576716
Indonesia,Male,0-14,2012,39195.4900253155,7561.74876591267,5.18338961511171,32633.9572138116,7970.24270681176,4.09447471228461
Indonesia,Male,0-14,2013,38973.2535530348,7615.12868403654,5.11787195858341,32714.9388214356,7985.46161049315,4.09681248463422
Indonesia,Male,0-14,2014,39158.3402467199,7674.64513978791,5.10229978500374,32740.5475023601,7987.51256817357,4.09896663359449
Indonesia,Male,0-14,2015,39540.0984528782,7731.96724064639,5.11384712612578,32693.7471768362,7972.08134515189,4.10103030329946
Indonesia,Male,0-14,2016,39962.2014007807,7766.56166039861,5.14541738650532,32554.3516282969,7923.54435140545,4.10855927404793
Indonesia,Male,0-14,2017,40396.5054203275,7771.99420854065,5.1977014311122,32344.0295293325,7842.5864515883,4.12415339365269
Indonesia,Male,0-14,2018,40811.635697525,7755.84130758376,5.26205141118848,32110.570581449,7749.77463795915,4.14341991626032
Indonesia,Male,0-14,2019,41120.6910030163,7729.14962638295,5.32020894803919,31890.8505208548,7663.32131619692,4.16149202219297
Indonesia,Male,15-24,2000,92342.3229463046,11906.9597637634,7.75532333848406,87213.9042148981,11527.998783634,7.56539845742467
