location,sex,age,year,measure,source,value
Uganda,Female,20-24 years,2018,Incidence,model,5259.09477620804
Uganda,Female,25-29 years,2018,Incidence,model,3855.68820209456
Uganda,Female,30-34 years,2018,Incidence,model,2581.02915573677
Uganda,Female,35-39 years,2018,Incidence,model,1678.53828347788
Uganda,Female,40-44 years,2018,Incidence,model,940.588018437389
Uganda,Female,45-49 years,2018,Incidence,model,266.963732931085
Uganda,Female,50-54 years,2018,Incidence,model,0
Uganda,Female,55-59 years,2018,Incidence,model,0
Uganda,Female,60-64 years,2018,Incidence,model,0
Uganda,Female,65-69 years,2018,Incidence,model,0
Uganda,Female,70-74 years,2018,Incidence,model,0
Uganda,Female,75-79 years,2018,Incidence,model,0
Uganda,Female,80-84 years,2018,Incidence,model,0
Uganda,Female,85-89 years,2018,Incidence,model,0
Uganda,Female,90-94 years,2018,Incidence,model,0
Uganda,Female,95+ years,2018,Incidence,model,0
Uganda,Female,<1 year,2019,Incidence,model,0
Uganda,Female,12-23 months,2019,Incidence,model,777.641684188803
Uganda,Female,2-4 years,2019,Incidence,model,5140.04188724825
Uganda,Female,5-9 years,2019,Incidence,model,8029.05292713392
Uganda,Female,10-14 years,2019,Incidence,model,5053.81946691697
Uganda,Female,15-19 years,2019,Incidence,model,6110.28516967359
Uganda,Female,20-24 years,2019,Incidence,model,5521.00001925641
Uganda,Female,25-29 years,2019,Incidence,model,4091.20525482595
Uganda,Female,30-34 years,2019,Incidence,model,2759.24964090533
Uganda,Female,35-39 years,2019,Incidence,model,1763.25192904742
Uganda,Female,40-44 years,2019,Incidence,model,967.863268844946
Uganda,Female,45-49 years,2019,Incidence,model,273.658838844347
Uganda,Female,50-54 years,2019,Incidence,model,0
Uganda,Female,55-59 years,2019,Incidence,model,0
Uganda,Female,60-64 years,2019,Incidence,model,0
Uganda,Female,65-69 years,2019,Incidence,model,0
Uganda,Female,70-74 years,2019,Incidence,model,0
Uganda,Female,75-79 years,2019,Incidence,model,0
Uganda,Female,80-84 years,2019,Incidence,model,0
Uganda,Female,85-89 years,2019,Incidence,model,0
Uganda,Female,90-94 years,2019,Incidence,model,0
Uganda,Female,95+ years,2019,Incidence,model,0
Uganda,Female,<1 year,2000,Incidence,gbd,0
Uganda,Female,12-23 months,2000,Incidence,gbd,618.617397654619
Uganda,Female,2-4 years,2000,Incidence,gbd,3835.50172986294
Uganda,Female,5-9 years,2000,Incidence,gbd,5802.37886792922
Uganda,Female,10-14 years,2000,Incidence,gbd,4103.03285166315
Uganda,Female,15-19 years,2000,Incidence,gbd,3937.34665653997
Uganda,Female,20-24 years,2000,Incidence,gbd,3070.92610133546
Uganda,Female,25-29 years,2000,Incidence,gbd,2237.05714733382
Uganda,Female,30-34 years,2000,Incidence,gbd,1513.45552203811
Uganda,Female,35-39 years,2000,Incidence,gbd,1013.78789908144
Uganda,Female,40-44 years,2000,Incidence,gbd,526.72182794546
Uganda,Female,45-49 years,2000,Incidence,gbd,139.604348658214
Uganda,Female,50-54 years,2000,Incidence,gbd,0
Uganda,Female,55-59 years,2000,Incidence,gbd,0
Uganda,Female,60-64 years,2000,Incidence,gbd,0
Uganda,Female,65-69 years,2000,Incidence,gbd,0
Uganda,Female,70-74 years,2000,Incidence,gbd,0
Uganda,Female,75-79 years,2000,Incidence,gbd,0
Uganda,Female,80-84 years,2000,Incidence,gbd,0
Uganda,Female,85-89 years,2000,Incidence,gbd,0
Uganda,Female,90-94 years,2000,Incidence,gbd,0
Uganda,Female,95+ years,2000,Incidence,gbd,0
Uganda,Female,<1 year,2001,Incidence,gbd,0
Uganda,Female,12-23 months,2001,Incidence,gbd,636.826400521329
Uganda,Female,2-4 years,2001,Incidence,gbd,3954.4850803103
Uganda,Female,5-9 years,2001,Incidence,gbd,5959.40230553021
Uganda,Female,10-14 years,2001,Incidence,gbd,4238.31368761032
Uganda,Female,15-19 years,2001,Incidence,gbd,4077.33784464912
Uganda,Female,20-24 years,2001,Incidence,gbd,3169.20003977909
Uganda,Female,25-29 years,2001,Incidence,gbd,2310.9482478901
Uganda,Female,30-34 years,2001,Incidence,gbd,1565.839612022
Uganda,Female,35-39 years,2001,Incidence,gbd,1049.95637271549
Uganda,Female,40-44 years,2001,Incidence,gbd,555.336770919544
Uganda,Female,45-49 years,2001,Incidence,gbd,140.507004246451
Uganda,Female,50-54 years,2001,Incidence,gbd,0
Uganda,Female,55-59 years,2001,Incidence,gbd,0
Uganda,Female,60-64 years,2001,Incidence,gbd,0
Uganda,Female,65-69 years,2001,Incidence,gbd,0
Uganda,Female,70-74 years,2001,Incidence,gbd,0
Uganda,Female,75-79 years,2001,Incidence,gbd,0
Uganda,Female,80-84 years,2001,Incidence,gbd,0
